2025-06-23 11:26:24.564 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=7234, versions=v2, appId=173252412813, sign=E89B8B1739F156434B28804CB166A353, sku_id=84, spu_id=853294, timestamp=1750649183}
2025-06-23 15:17:44.381 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93[84]","data":[]}
2025-06-23 15:17:44.411 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=fail, code=20007, message=该商品未加入选品库[84], data=[Lcom.cw.framework.supply.response.SkuDetail;@119020fb)
2025-06-23 15:18:48.060 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=3513, versions=v2, appId=173252412813, sign=E3A8040758E03FC451B7B28184A6DD2A, sku_id=2813083, spu_id=854003, timestamp=1750663127}
2025-06-23 15:18:48.726 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"success","code":200,"message":"\u83b7\u53d6\u6570\u636e\u6210\u529f","data":{"sku_id":2813083,"channel_id":9,"spu_id":854003,"suk":"125ml*1\u7f50","sku":"343CU1B9TDQ04","attr":[{"name":"\u89c4\u683c","value":"125ml*1\u7f50"}],"stock":449,"sales":2,"price":"120.75","image":"https:\/\/s3kb.img.apiunion.com\/i\/dae88e4c41a57f7f52ef3f49966d6759_800X800_2bW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg","bar_code":"3181440293192006914","market_price":"355.00","group_price":"355.00","weight":0,"volume":"0","is_show":1,"buy_start_qty":1,"is_overseas":0,"service_price":"3.62","skuDesc":{"skuname":"\u3010\u70ed\u9500\u6b3e\u3011\u79d1\u989c\u6c0f \u4e9a\u9a6c\u900a\u767d\u6ce5\u6e05\u6d01\u9762\u819c 125ml \u6df1\u5c42\u6e05\u6d01 \u6536\u7f29\u6bdb\u5b54 (GN)","description":"<p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/52978d0dee78e4648578d054f7047000_790X277_3tW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/fc66ef49fb49cc5682bbfed35a187491_790X1848_1E.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/a367bfe02accd4a0a86f134466c06b8d_790X1889_pjW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/acdd95b7518f759b0b736b4cc5fb5a18_790X1640_k2W.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/ae51d09dd7256df9540fa11ac965dd89_790X2478_1E.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><\/p>"}}}
2025-06-23 15:19:13.356 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=3117, versions=v2, appId=173252412813, sign=8CC7D0CE46994D0779C8F2593211DE37, sku_id=2813083, spu_id=854003, timestamp=1750663152}
2025-06-23 15:19:14.164 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"success","code":200,"message":"\u83b7\u53d6\u6570\u636e\u6210\u529f","data":{"sku_id":2813083,"channel_id":9,"spu_id":854003,"suk":"125ml*1\u7f50","sku":"343CU1B9TDQ04","attr":[{"name":"\u89c4\u683c","value":"125ml*1\u7f50"}],"stock":449,"sales":2,"price":"120.75","image":"https:\/\/s3kb.img.apiunion.com\/i\/dae88e4c41a57f7f52ef3f49966d6759_800X800_2bW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg","bar_code":"3181440293192006914","market_price":"355.00","group_price":"355.00","weight":0,"volume":"0","is_show":1,"buy_start_qty":1,"is_overseas":0,"service_price":"3.62","skuDesc":{"skuname":"\u3010\u70ed\u9500\u6b3e\u3011\u79d1\u989c\u6c0f \u4e9a\u9a6c\u900a\u767d\u6ce5\u6e05\u6d01\u9762\u819c 125ml \u6df1\u5c42\u6e05\u6d01 \u6536\u7f29\u6bdb\u5b54 (GN)","description":"<p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/52978d0dee78e4648578d054f7047000_790X277_3tW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/fc66ef49fb49cc5682bbfed35a187491_790X1848_1E.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/a367bfe02accd4a0a86f134466c06b8d_790X1889_pjW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/acdd95b7518f759b0b736b4cc5fb5a18_790X1640_k2W.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/ae51d09dd7256df9540fa11ac965dd89_790X2478_1E.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><\/p>"}}}
2025-06-23 15:19:14.197 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=success, code=200, message=获取数据成功, data=SkuDetail(sku_id=2813083, suk=125ml*1罐, attr=[SkuDetail.Attr(name=规格, value=125ml*1罐)], stock=449, sales=2, price=120.75, image=https://s3kb.img.apiunion.com/i/dae88e4c41a57f7f52ef3f49966d6759_800X800_2bW.jpg?imageView2/2/w/800/interlace/1/q/93/format/jpeg, bar_code=3181440293192006914, market_price=355.00, group_price=355.00, weight=0.0, volume=0, isShow=null, buy_startqty=null, is_overseas=0, service_price=3.62, sku_desc=null))
2025-06-23 15:20:01.575 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=5546, versions=v2, appId=173252412813, sign=4B318BC80D752E0DCFEDDCF0FD320DC4, sku_id=2813083, spu_id=854003, timestamp=1750663201}
2025-06-23 15:20:02.846 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"success","code":200,"message":"\u83b7\u53d6\u6570\u636e\u6210\u529f","data":{"sku_id":2813083,"channel_id":9,"spu_id":854003,"suk":"125ml*1\u7f50","sku":"343CU1B9TDQ04","attr":[{"name":"\u89c4\u683c","value":"125ml*1\u7f50"}],"stock":449,"sales":2,"price":"120.75","image":"https:\/\/s3kb.img.apiunion.com\/i\/dae88e4c41a57f7f52ef3f49966d6759_800X800_2bW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg","bar_code":"3181440293192006914","market_price":"355.00","group_price":"355.00","weight":0,"volume":"0","is_show":1,"buy_start_qty":1,"is_overseas":0,"service_price":"3.62","skuDesc":{"skuname":"\u3010\u70ed\u9500\u6b3e\u3011\u79d1\u989c\u6c0f \u4e9a\u9a6c\u900a\u767d\u6ce5\u6e05\u6d01\u9762\u819c 125ml \u6df1\u5c42\u6e05\u6d01 \u6536\u7f29\u6bdb\u5b54 (GN)","description":"<p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/52978d0dee78e4648578d054f7047000_790X277_3tW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/fc66ef49fb49cc5682bbfed35a187491_790X1848_1E.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/a367bfe02accd4a0a86f134466c06b8d_790X1889_pjW.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/acdd95b7518f759b0b736b4cc5fb5a18_790X1640_k2W.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><img src=\"https:\/\/s3kb.img.apiunion.com\/i\/ae51d09dd7256df9540fa11ac965dd89_790X2478_1E.jpg?imageView2\/2\/w\/800\/interlace\/1\/q\/93\/format\/jpeg\" style=\"width:100%;height:auto;display:block;\"><\/p><p><\/p>"}}}
2025-06-23 15:20:02.883 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=success, code=200, message=获取数据成功, data=SkuDetail(skuId=2813083, suk=125ml*1罐, attr=[SkuDetail.Attr(name=规格, value=125ml*1罐)], stock=449, sales=2, price=120.75, image=https://s3kb.img.apiunion.com/i/dae88e4c41a57f7f52ef3f49966d6759_800X800_2bW.jpg?imageView2/2/w/800/interlace/1/q/93/format/jpeg, barCode=3181440293192006914, marketPrice=355.00, groupPrice=355.00, weight=0.0, volume=0, isShow=1, buyStartQty=1, isOverseas=0, servicePrice=3.62, skuDesc=SkuDetail.SkuDesc(skuname=【热销款】科颜氏 亚马逊白泥清洁面膜 125ml 深层清洁 收缩毛孔 (GN), description=<p><img src="https://s3kb.img.apiunion.com/i/52978d0dee78e4648578d054f7047000_790X277_3tW.jpg?imageView2/2/w/800/interlace/1/q/93/format/jpeg" style="width:100%;height:auto;display:block;"></p><p><img src="https://s3kb.img.apiunion.com/i/fc66ef49fb49cc5682bbfed35a187491_790X1848_1E.jpg?imageView2/2/w/800/interlace/1/q/93/format/jpeg" style="width:100%;height:auto;display:block;"></p><p><img src="https://s3kb.img.apiunion.com/i/a367bfe02accd4a0a86f134466c06b8d_790X1889_pjW.jpg?imageView2/2/w/800/interlace/1/q/93/format/jpeg" style="width:100%;height:auto;display:block;"></p><p><img src="https://s3kb.img.apiunion.com/i/acdd95b7518f759b0b736b4cc5fb5a18_790X1640_k2W.jpg?imageView2/2/w/800/interlace/1/q/93/format/jpeg" style="width:100%;height:auto;display:block;"></p><p><img src="https://s3kb.img.apiunion.com/i/ae51d09dd7256df9540fa11ac965dd89_790X2478_1E.jpg?imageView2/2/w/800/interlace/1/q/93/format/jpeg" style="width:100%;height:auto;display:block;"></p><p></p>)))
